datasetid,sitename,lon,lat,,,,,,,,,,,
754,Lake Tear of the Clouds,-73.93533,44.1069,,,,,,,,,,,
755,Little Pine Pond,-74.15127,44.25973,,,,,,,,,,,
756,Little Shallow Pond,-74.95267,44.04869,,,,,,,,,,,
757,Heavens Lake [Long Pond (TL)],-74.42531,44.13115,,,,,,,,,,,
758,Site 28 (Whitehead and Jackson 1990),-74.3,44.43,,,,,,,,,,,
759,Mountain Pond,-74.07621,44.54449,,,,,,,,,,,
760,Nick's Pond,-74.96782,44.14249,,,,,,,,,,,
761,Parch Pond,-73.60152,44.0418,,,,,,,,,,,
762,Pine Pond,-74.14393,44.26461,,,,,,,,,,,
763,Rock Pond,-74.30458,44.18982,,,,,,,,,,,
764,Round P.,-73.73287,44.12496,,,,,,,,,,,
765,Upper Wallface Pond,-74.05568,44.1483,,,,,,,,,,,
766,Wolf L. (H.F.),-74.21973,44.02092,,,,,,,,,,,
767,Elk Pass,-73.82597,44.09652,,,,,,,,,,,
768,Lake Vanare,-73.78913,43.37158,,,,,,,,,,,
769,Silver Lake,-73.8781,44.50502,,,,,,,,,,,
770,Lake Drummond,-76.45833,36.58333,,,,,,,,,,,
771,Rockyhock Bay,-76.68333,36.16667,,,,,,,,,,,
3490,Duck Pond,-70.0005,41.9327,,,,,,,,,,,
3599,Eagle Lake Bog,-71.66667,44.16667,,,,,,,,,,,
779,Easel,-66.76667,54.76667,,,,,,,,,,,
780,East Mountain Lake,-128.56667,65.68333,,,,,,,,,,,
783,EC03,-74.975,56.02,,,,,,,,,,,
3769,E Lake,-99.65835,50.69095,,,,,,,,,,,
814,Kinnelon,-74.42,40.98,,,,,,,,,,,
3474,Ferndale Bog,-95.80833,34.40556,,,,,,,,,,,
836,"Fisherman Lake Region, Surface Sample 1",-123.73444,60.27583,,,,,,,,,,,
837,Fisherman Lake,-123.71194,60.31417,,,,,,,,,,,
838,John Klondike Bog,-123.64667,60.35667,,,,,,,,,,,
3805,Frains Lake,-83.63,42.33,,,,,,,,,,,
19962,George Lake,-93.87066,44.2329,,,,,,,,,,,
881,GMM045,-127.5,66.16667,,,,,,,,,,,
882,GMM046,-126.16667,65.83333,,,,,,,,,,,
883,GMM047,-128.16667,65.75,,,,,,,,,,,
884,GMM051,-123.5,64.83333,,,,,,,,,,,
885,GMM052,-122.7,64.41667,,,,,,,,,,,
