"","site.name","lat","long","51.80","86.15","Abies","Acer","Alnus rubra","Alnus rugosa","AlnusXC","Aquifoliaceae","Arceuthobium","Artemisia","Asteraceae","Betula","Brassicaceae","Cactaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Chenopodiaceae/Amaranthaceae","Chrysolepis/Lithocarpus","Corylus","Cupressaceae","Cyperaceae","Dryas","Ephedra","Ericaceae","Fagus","Fraxinus nigra","Fraxinus pennsylvanica/americana","Iva","Juglans","Larix/Pseudotsuga","Larrea","Liquidambar","Minor Forbs","Myricaceae","Nyssa","Ostrya/Carpinus","Oxyria","Papaveraceae","Picea","Pinus diploxylon","Pinus haploxylon","Pinus undifferentiated","Plantaginaceae","Platanus","Poaceae","Poaeceae","Populus","Prosopis","Pteridium","Quercus","Rosaceae","Salix","Sarcobatus","Saxifraga","Sphagnum","Taxodium","Tilia","Total Fraxinus (sum of nigra/penn/undiff)","Total Lycopodium","Tsuga heterophylla","Tsuga mertensiana","Tsuga undifferentiated","Ulmus"
"53","Lake BN3",55,-73.561667,-5.06138898858594,-4.47027786421694,0,0,0,4,43,0,0,2,0,79,0,0,0,0,0,0,0,3,0,0,2,7,0,0,4,0,0,0,0,0,3,0,0,0,1,0,0,0,0,314.5,3,2,7,0,0,5,0,0,0,0,1,0,0,0,0,41,0,0,1,2,0,0,0,1
"54","Lake BN6",55.001667,-73.541667,-5.34361117641545,-4.73888895300528,0,0,0,3,91,0,0,5,0,76,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,478,2,0,7,0,0,4,0,0,0,0,1,0,1,0,0,27,0,0,0,1,0,0,0,0
"55","Lake BN2B",55,-73.55,-5.06138898858594,-4.47027786421694,0,0,0,1,70,0,0,1,0,80,0,0,0,1,0,0,0,2,0,0,1,4,0,0,6,0,0,0,0,0,4,0,0,0,3,0,1,0,0,371.5,9,0,7,0,0,7,0,0,0,0,0,0,0,0,0,55,0,0,0,2,0,0,0,0
"56","Lake BN4B",55.001667,-73.558333,-5.34361117641545,-4.73888895300528,0,0,0,2,50,0,0,4,0,74,0,0,0,0,0,0,0,5,0,0,1,5,0,0,4,0,0,0,0,0,2,0,0,0,0,0,1,0,0,459,5,0,7,0,0,6,0,0,0,0,0,0,2,0,0,20,0,0,1,4,0,0,0,0
"57","Lake BN5B",55.003333,-73.545,-5.34361117641545,-4.73888895300528,1,0,0,3,42,0,0,2,0,86,0,0,0,1,0,0,0,2,0,0,3,10,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,327,5,0,4,0,0,4,0,0,0,0,0,0,1,0,0,18,0,0,1,2,0,0,0,1
"58","Bog A Pond",47.17548,-95.167455,3.94000006605768,4.82888898663223,5,4,0,0,12,0,0,7,0,49,0,0,0,0,0,0,0,4,0,3,0,11,0,0,0,0,0,0,0,1,2,0,0,0,0,0,8,0,0,2,24,33,127,0,0,9,0,5,0,0,24,1,1,0,0,0,0,0,2,0,0,0,0,2
"59","Tourbière Caribou",47.639722,-71.235833,1.25999999166363,1.81749999767376,35,0,0,5,2,0,0,0,0,52,0,0,1,0,0,0,0,1,0,0,0,9,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,170,19,36,0,0,0,13,0,2,0,0,4,1,0,0,0,5,0,0,3,0,0,0,0,2
"60","Cascade Fen [Engineer Mountain Bog]",37.647645,-107.808675,0.696111111674045,1.23000002921455,13,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,15,0,0,22,127,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,82,0,0,111,0,0,18,0,0,0,0,17,2,1,0,0,0,0,0,0,0,0,0,0,0
"61","Chara Lake",65.516667,-127.75,-7.32305567893717,-5.90833345419831,0,0,0,0,71,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,28,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,164,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0
"62","Chicken Lake",37.469444,-108.221389,7.57194456338055,8.25638903619515,0,0,0,0,0,0,0,21,6,0,1,0,0,1,0,0,0,12,0,0,9,77,0,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,203,0,0,26,0,0,0,0,23,3,3,1,0,0,0,0,0,0,0,0,0,0
